Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Bobby Wagner,33,SEA,LB,17,16,0,61,49,546,2,114.9,5.1,239,307,44,1,2,0,3.5,7,183,8
Zaire Franklin,27,IND,LB,16,16,0,84,65,663,1,103.4,4.6,225,438,23,0,1,1,1.5,3,179,15
Alex Singleton,30,DEN,LB,17,16,0,85,68,573,2,102.6,2.3,138,435,52,1,3,1,2,6,177,15
Foyesade Oluokun,28,JAX,LB,17,17,1,82,61,499,1,88.4,2.2,94,405,49,5,6,1,2.5,14,173,22
Azeez Al-Shaair,26,TEN,LILB,17,17,0,49,34,281,2,97.4,5.1,103,178,42,1,4,1,2,7,163,13
Roquan Smith,26,BAL,LB,16,16,1,82,63,676,2,103.5,5.2,304,372,42,1,4,1,1.5,7,158,8
T.J. Edwards,27,CHI,LB,17,17,3,87,72,644,2,90.8,2.7,162,482,68,2,6,0,2.5,11,155,13
C.J. Mosley,31,NYJ,LB,17,17,1,65,48,508,1,94.9,3.1,122,386,29,0,1,1,0.5,2,152,13
Bobby Okereke,27,NYG,LB,17,17,2,42,34,302,2,92.7,1.1,15,287,69,2,4,1,2.5,9,149,12
Robert Spillane,28,LVR,LB,17,17,3,55,40,410,2,83.1,3.3,112,298,36,1,3,0,3.5,8,148,12
Ernest Jones,24,LAR,LB,15,15,0,48,34,294,1,93.6,1.7,49,245,58,7,2,1,4.5,14,145,2
Terrel Bernard,24,BUF,LB,17,17,3,56,40,388,2,80.1,5,159,229,50,5,2,1,6.5,14,143,15
Quincy Williams,27,NYJ,LB,17,16,1,88,63,450,4,93.5,2.2,72,378,29,1,2,1,2,5,139,13
Camryn Bynum,25,MIN,S,17,17,2,92,70,698,3,98.9,8,386,312,5,0,0,0,0.5,1,137,13
Logan Wilson,27,CIN,LB,17,17,4,73,55,576,4,93.2,5.1,247,329,38,0,2,0,1,4,135,7
Lavonte David,33,TAM,LB,15,15,0,85,67,569,2,102.4,4.6,224,345,51,4,0,0,4.5,9,134,9
Patrick Queen,24,BAL,LB,17,17,1,67,52,388,2,94.5,3.2,102,286,63,4,2,0,3.5,10,133,14
Jessie Bates III,26,ATL,S,17,17,6,51,33,380,3,67.1,12.4,264,116,13,1,1,0,0,2,132,11
Fred Warner,27,SFO,LB,17,17,4,76,56,560,1,76.6,4.9,203,357,43,1,4,3,2.5,8,132,14
Alex Anzalone,29,DET,LB,16,16,0,80,56,546,2,97.2,3.7,158,388,75,5,9,1,3,17,129,22
Devin Lloyd,25,JAX,LB,15,15,0,72,50,441,2,94.7,4.5,164,277,34,1,1,0,0,2,127,12
Derwin James,27,LAC,S,16,16,1,64,44,468,2,93.7,7.9,250,218,36,3,2,1,2,7,125,12
Frankie Luvu,27,CAR,LILB,17,17,0,56,34,326,3,94.8,2.8,100,226,46,2,5,1,5.5,13,125,18
Julian Love,25,SEA,S,17,12,4,69,44,606,3,82.2,10.1,398,208,4,1,1,0,0,2,123,10
Kaden Elliss,28,ATL,LB,17,17,0,54,39,281,1,90.1,3.7,77,204,39,3,2,1,4,9,122,9
Antoine Winfield Jr.,25,TAM,S,17,17,3,48,33,471,4,102,11.6,294,177,30,4,2,2,6,12,122,7
Kevin Byard,30,2TM,SS,16,16,1,63,47,512,2,102.1,7.5,298,214,10,0,0,1,0,0,122,5
Kevin Byard,30,TEN,SS,6,6,0,22,16,196,0,99.8,9.5,113,83,1,0,0,0,0,0,47,2
Kevin Byard,30,PHI,SS,10,10,1,41,31,316,2,103.3,6.4,185,131,9,0,0,1,0,0,75,3
Cody Barton,27,WAS,LB,13,13,1,47,37,331,2,101.3,2.5,92,239,27,4,0,0,0,4,121,4
Demario Davis,34,NOR,MLB,17,17,0,46,29,232,2,90.1,4.7,82,150,39,3,5,0,6.5,15,121,11
Dre Greenlaw,26,SFO,LB,15,15,0,82,58,456,4,100.5,4,151,305,39,2,2,0,1.5,6,120,12
Germaine Pratt,27,CIN,LB,17,17,2,63,45,425,2,87.1,4.7,207,218,25,2,0,0,2,5,118,8
Quay Walker,23,GNB,LB,14,14,1,58,43,429,1,93.2,3,116,313,59,2,2,0,2.5,7,118,6
Eric Kendricks,31,LAC,LILB,15,14,0,59,47,498,0,101.8,3.4,156,342,53,1,2,1,3.5,7,117,5
Xavier McKinney,25,NYG,FS,17,17,3,65,41,456,1,69.8,8.5,241,215,42,2,0,2,0.5,3,116,8
Josh Metellus,25,MIN,S,17,17,1,79,65,527,3,101.8,4.6,192,335,91,14,7,0,2.5,24,116,13
Kamren Curl,24,WAS,S,16,16,0,46,32,373,2,108.3,8.7,244,129,17,1,2,0,1,4,115,9
Ja'Whaun Bentley,27,NWE,LB,16,16,0,44,33,338,0,96.6,4.1,117,221,77,6,5,1,4.5,16,114,13
Reed Blankenship,24,PHI,S,15,15,3,66,42,529,6,99.9,11.8,330,199,6,0,1,0,0,1,113,11
Tremaine Edmunds,25,CHI,LB,15,15,4,65,51,450,3,85.3,3.8,170,280,34,0,0,0,0,0,113,13
David Long,27,MIA,LB,17,17,0,50,34,386,1,97.6,4.5,170,216,65,4,4,1,1,9,113,14
Jordyn Brooks,26,SEA,RILB,16,16,1,52,40,389,0,89.3,3.9,81,308,22,2,2,0,4.5,9,111,12
Daxton Hill,23,CIN,S,17,17,2,50,34,465,2,94.2,10.4,337,128,26,2,3,1,1.5,7,110,8
Nathan Landman,25,ATL,LB,16,14,1,42,29,262,1,83.6,2.5,61,201,17,1,2,0,2,5,110,13
Jahlani Tavai,27,NWE,LB,17,16,2,35,26,166,1,69.5,1.2,19,147,55,1,3,0,1,5,110,10
Damone Clark,23,DAL,LB,17,17,0,32,24,224,1,104.2,3.1,51,173,42,1,1,0,0,2,109,4
Kyle Dugger,27,NWE,DB,17,17,2,64,44,478,1,82.7,8.3,270,208,45,4,2,0,1.5,8,109,8
Josey Jewell,29,DEN,LB,16,15,0,43,29,196,2,92.8,3.4,74,122,38,1,1,0,3,5,108,4
Jordan Hicks,31,MIN,LB,13,13,1,42,34,298,1,94.2,3.9,128,170,89,4,1,1,1,6,107,6
Kenneth Murray,25,LAC,LB,15,15,1,69,49,516,3,100.9,2.8,128,388,61,2,0,0,3,5,107,4
Blake Cashman,27,HOU,MLB,14,13,1,55,38,263,1,78.1,4,74,189,28,2,3,0,2,7,106,8
Divine Deablo,25,LVR,LB,15,15,0,49,38,289,2,104.8,2.6,75,214,24,1,1,0,1,3,106,7
Jaquan Brisker,24,CHI,DB,15,15,1,60,37,442,6,110.6,9.4,264,178,20,1,0,1,1,3,105,10
Derrick Brown,25,CAR,DT,17,17,1,5,5,52,0,70.4,0.8,4,48,0,3,12,7,2,17,103,4
Richie Grant,26,ATL,S,17,15,1,57,39,543,6,126.6,12.8,392,151,21,1,3,0,3,7,103,11
Ivan Pace,23,MIN,LB,17,11,1,37,30,182,0,75.9,3.1,37,145,74,1,6,0,2.5,10,102,7
E.J. Speed,28,IND,LB,16,11,0,59,38,285,0,75.9,3,97,188,32,2,1,0,1,4,102,14
Christian Harris,22,HOU,LB,16,12,0,55,41,365,1,97.9,1.5,27,338,29,0,1,2,2,3,101,9
Rayshawn Jenkins,29,JAX,SS,17,17,2,61,33,424,0,62.5,9,254,170,32,3,1,0,1,5,101,10
Micah McFadden,23,NYG,LB,16,14,1,35,26,178,1,82.8,1.4,9,169,53,2,4,0,1,8,101,22
Jeremiah Owusu-Koramoah,24,CLE,LB,16,13,2,45,35,250,3,93.5,2.9,71,179,60,1,0,1,3.5,5,101,13
Elandon Roberts,29,PIT,LB,16,15,0,48,39,343,1,103.4,3.1,142,201,32,2,3,1,2.5,8,101,7
Jordan Poyer,32,BUF,SS,16,16,0,51,35,357,2,101.5,7.6,238,119,27,2,1,0,1,4,100,6
Taron Johnson,27,BUF,CB,17,17,0,81,55,409,3,92.1,2.9,95,314,28,0,1,0,1,2,98,6
Jordan Whitehead,26,NYJ,SS,17,17,4,38,21,280,7,78.8,11.7,122,158,5,0,0,0,0.5,1,97,16
