Team,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
ARI,77.2,72.5,68.5,75.2,73.4,73.6,70.4,72.9,74.12,80.2
ATL,70.5,75.9,74,68.7,69.6,74.6,78.4,83.4,85.1,65.9
BAL,92.1,91.6,89.9,85.1,86.2,89.4,77,75,76.13,75.7
BUF,87.7,89.5,89.9,90.4,85.6,79.3,73.9,71,69.07,59.5
CAR,69.3,70.2,77.3,69,72.3,68.9,76.7,79.3,78.67,84.7
CHI,77.2,78.2,76.9,69.9,69.1,68.8,80.5,72.9,67.78,65.4
CIN,79.1,87.6,91,85.6,68.1,70.8,71,71.9,77.17,79
CLE,71.3,83.8,79.2,82.6,84.7,76.8,81.9,70.8,59.92,45.4
DAL,74.4,81.9,83.2,77.6,76.4,82.7,79,77.8,84.23,63
DEN,85,72.8,77.9,81.7,71.4,72.3,74.3,74.9,76.45,76.4
DET,87.2,88.9,82.6,73,65.1,71.3,74.5,76.4,76.12,65.7
GB,86.2,86.4,81.3,87.7,78.9,78.9,79.6,80.7,84.97,83.2
HOU,84.1,88.5,70.3,73.1,60.6,73.5,77.6,78.1,73.45,70.4
IND,70.6,78.2,72.7,82.8,81.1,80.6,87.8,74.9,78.97,63.4
JAX,75.7,82.1,84,74.2,74.3,64.5,72.9,79.9,69.02,65.2
KC,89.5,95.3,93.4,88.5,88.5,89,85.5,78.2,81.23,75.5
LAC,82.3,79.4,81.6,86.6,79.9,76,80.9,80.2,75.22,60.4
LAR,82.2,83.7,70.7,87.7,81.9,75.7,82.8,81.9,68.4,58.2
LV,77.9,66.2,70.3,78.5,68.9,75,75.2,74.8,82.3,74
MIA,72.1,84,82.5,75.6,77,74.6,65.4,69.5,75.77,59.5
MIN,82.4,77.2,75.8,77.9,74.9,80.3,80.4,84.7,76.17,77.1
NE,77.2,72.9,79.6,81.3,81.4,80.1,87.2,86.7,90.12,88.3
NO,63,68.6,72.8,79.5,79.4,85.7,84.2,85.3,71.83,65.7
NYG,67.4,70.6,79.2,71.5,71.2,69.3,69.1,72.7,79.37,67.3
NYJ,69.4,75.9,81.1,76.6,74.5,70.5,70.8,72.6,60.65,68.3
PHI,92.6,88.8,94.1,80.5,66.4,82.6,87,88.7,75.85,63.5
PIT,75.1,81,84.1,80.8,75.7,81.6,84.4,83.9,84.35,83.5
SEA,75.5,80.1,85.9,74.9,81,81.2,84.9,80,86.43,88.5
SF,83.5,88.5,84,82.6,82.8,86.4,73.6,78.6,67.7,54.3
TB,81.7,78.7,70.1,84.7,88.1,81.2,72,74.9,80.18,67
TEN,72.1,73.3,75.9,79.4,78.2,80.3,75.3,78,80.77,64.9
WSH,83.2,76.4,72.6,74.5,75.3,70.8,71.3,73.6,72.6,74.2
